,active_cases,cases,country_name,deaths,new_cases,new_deaths,region,serious_critical,total_cases_per_1m_population,total_recovered
0,"150,401","158,550",USA,"2,938","15,059",355,,"3,402",479,"5,211"
1,"75,528","101,739",Italy,"11,591","4,050",812,,"3,981","1,683","14,620"
2,"61,075","85,195",Spain,"7,340","5,085",537,,"5,231","1,822","16,780"
3,"54,158","63,929",Germany,560,"1,494",19,,"1,979",763,"9,211"
4,"33,599","44,550",France,"3,024","4,376",418,,"5,056",683,"7,927"
5,"24,827","41,495",Iran,"2,757","3,186",117,,"3,511",494,"13,911"
6,"20,598","22,141",UK,"1,408","2,619",180,,163,326,135
7,"13,589","15,760",Switzerland,348,931,48,,301,"1,821","1,823"
8,"9,859","11,899",Belgium,513,"1,063",82,,927,"1,027","1,527"
9,"10,636","11,750",Netherlands,864,884,93,,"1,053",686,250
10,"10,497","10,827",Turkey,168,"1,610",37,,568,128,162
11,"4,275","9,661",S. Korea,158,78,6,,59,188,"5,228"
12,"8,853","9,597",Austria,108,809,22,,193,"1,066",636
13,"6,216","7,297",Canada,67,977,2,,120,193,"1,014"
14,"6,225","6,408",Portugal,140,446,21,,164,628,43
15,"4,545","4,695",Israel,16,448,1,,66,542,134
16,"4,401","4,445",Norway,32,161,6,,97,820,12
17,"4,110","4,371",Brazil,141,115,5,,296,21,120
18,"3,983","4,245",Australia,18,82,1,,28,166,244
19,"3,866","4,028",Sweden,146,328,36,,306,399,16
20,"2,894","2,942",Czechia,23,125,7,,52,275,25
21,"2,851","2,910",Ireland,54,295,8,,84,589,5
22,"2,110","2,626",Malaysia,37,156,2,,94,81,479
23,"2,499","2,577",Denmark,77,182,5,,137,445,1
24,"2,285","2,449",Chile,8,310,1,,14,128,156
25,"2,017","2,055",Poland,31,193,9,,3,54,7
26,"1,926","1,988",Luxembourg,22,38,1,,25,"3,176",40
27,"1,899","1,962",Ecuador,60,38,2,,58,111,3
28,"1,678","1,952",Romania,65,137,22,,33,101,209
29,"1,388","1,866",Japan,54,0,0,,56,15,424
30,"1,761","1,836",Russia,9,302,1,,8,13,66
31,"1,593","1,690",Pakistan,21,93,7,,11,8,76
32,"1,426","1,546",Philippines,78,128,7,,1,14,42
33,"1,286","1,524",Thailand,9,136,2,,11,22,229
34,"1,330","1,453",Saudi Arabia,8,154,0,,12,42,115
35,"1,217","1,414",Indonesia,122,129,8,,0,5,75
36,"1,329","1,352",Finland,13,112,2,,49,244,10
37,"1,292","1,326",South Africa,3,46,1,,7,22,31
38,"1,117","1,212",Greece,43,56,4,,72,116,52
39,927,"1,086",Iceland,2,66,0,,25,"3,182",157
40,942,"1,071",India,29,47,2,,0,0.8,100
41,938,993,Mexico,20,145,4,,1,8,35
42,961,989,Panama,24,0,0,,36,229,4
43,916,950,Peru,18,98,0,,49,29,16
44,855,901,Dominican Republic,42,42,3,,0,83,4
45,648,879,Singapore,3,35,0,,19,150,228
46,569,820,Argentina,23,0,3,,0,18,228
47,771,798,Colombia,12,96,2,,29,16,15
48,717,790,Croatia,6,77,0,,27,192,67
49,727,785,Serbia,16,44,3,,62,90,42
50,735,756,Slovenia,11,26,0,,28,364,10
51,692,715,Estonia,3,36,0,,10,539,20
52,99,712,Diamond Princess,10,0,0,,15,0,603
53,641,693,Qatar,1,59,0,,6,241,51
54,465,656,Egypt,41,47,1,,0,6,150
55,520,642,Hong Kong,4,0,0,,5,86,118
56,432,630,Iraq,46,83,4,,0,16,152
57,545,611,UAE,5,41,2,,2,62,61
58,525,589,New Zealand,1,75,0,,2,122,63
59,512,584,Algeria,35,73,4,,0,13,37
60,487,534,Morocco,33,55,7,,1,14,14
61,232,515,Bahrain,4,16,0,,2,303,279
62,477,491,Lithuania,7,31,0,,5,180,7
63,449,482,Armenia,3,58,0,,15,163,30
64,463,480,Ukraine,11,5,1,,0,11,6
65,398,447,Hungary,15,39,2,,6,46,34
66,400,446,Lebanon,11,8,1,,3,65,35
67,375,376,Latvia,0,29,0,,3,199,1
68,334,359,Bulgaria,8,13,0,,13,52,17
69,332,358,Bosnia and Herzegovina,9,35,3,,1,109,17
70,329,336,Slovakia,0,22,0,,1,62,7
71,322,334,Andorra,6,0,0,,10,"4,323",6
72,309,314,Costa Rica,2,0,0,,6,62,3
73,302,312,Tunisia,8,0,0,,10,26,2
74,309,310,Uruguay,1,6,0,,9,89,0
75,262,306,Taiwan,5,8,2,,0,13,39
76,280,302,Kazakhstan,1,18,0,,0,16,21
77,281,298,Moldova,2,35,0,,44,74,15
78,266,285,North Macedonia,7,26,1,,1,137,12
79,243,273,Azerbaijan,4,64,0,,23,27,26
80,237,268,Jordan,5,9,2,,3,26,26
81,194,266,Kuwait,0,11,0,,13,62,72
82,203,246,Burkina Faso,12,24,0,,0,12,31
83,192,230,San Marino,25,6,3,,16,"6,778",13
84,201,230,Cyprus,7,16,1,,3,190,22
85,223,224,Réunion,0,41,0,,0,250,1
86,168,223,Albania,11,11,1,,7,77,44
87,148,203,Vietnam,0,9,0,,3,2,55
88,150,179,Oman,0,12,0,,3,35,29
89,164,170,Afghanistan,4,50,0,,0,4,2
90,162,170,Cuba,4,31,1,,2,15,4
91,98,168,Faeroe Islands,0,9,0,,1,"3,438",70
92,160,165,Ivory Coast,1,0,0,,0,6,4
93,135,162,Senegal,0,20,0,,0,10,27
94,154,156,Malta,0,5,0,,4,353,2
95,145,152,Ghana,5,0,0,,1,5,2
96,120,152,Belarus,0,58,0,,2,16,32
97,140,149,Uzbekistan,2,5,0,,8,4,7
98,139,141,Channel Islands,2,33,0,,0,811,0
99,128,139,Cameroon,6,0,0,,0,5,5
100,133,139,Honduras,3,29,0,,4,14,3
101,87,129,Venezuela,3,10,0,,6,5,39
102,125,128,Mauritius,3,21,0,,1,101,0
103,88,127,Brunei,1,1,0,,3,290,38
104,105,122,Sri Lanka,2,5,1,,5,6,15
105,97,116,Palestine,1,7,0,,0,23,18
106,106,111,Nigeria,2,0,1,,0,0.5,3
107,86,107,Cambodia,0,4,0,,1,6,21
108,85,106,Guadeloupe,4,0,0,,10,265,17
109,83,103,Georgia,0,12,0,,6,26,20
110,93,97,Bolivia,4,16,3,,3,8,0
111,91,94,Kyrgyzstan,0,10,0,,0,14,3
112,92,93,Martinique,1,0,0,,12,248,0
113,90,91,Montenegro,1,6,0,,1,145,0
114,78,82,Trinidad and Tobago,3,4,0,,0,59,1
115,72,82,Mayotte,0,19,0,,3,301,10
116,71,81,DRC,8,0,0,,0,0.9,2
117,70,70,Rwanda,0,0,0,,0,5,0
118,35,69,Gibraltar,0,4,0,,0,"2,048",34
119,60,64,Paraguay,3,5,0,,3,9,1
120,62,62,Liechtenstein,0,6,0,,0,"1,626",0
121,48,50,Kenya,1,8,0,,2,0.9,1
122,49,50,Aruba,0,0,0,,0,468,1
123,25,49,Bangladesh,5,1,0,,1,0.3,19
124,47,49,Monaco,1,3,0,,0,"1,249",1
125,49,49,Isle of Man,0,7,0,,0,576,0
126,37,43,French Guiana,0,0,0,,0,144,6
127,43,43,Madagascar,0,4,0,,0,2,0
128,28,38,Macao,0,1,0,,0,59,10
129,25,36,Guatemala,1,2,0,,1,2,10
130,33,36,Jamaica,1,4,0,,0,12,2
131,35,35,French Polynesia,0,5,0,,2,125,0
132,35,35,Zambia,0,6,0,,0,2,0
133,33,33,Barbados,0,0,0,,0,115,0
134,33,33,Uganda,0,0,0,,0,0.7,0
135,28,30,Togo,1,5,0,,0,4,1
136,30,30,El Salvador,0,6,0,,5,5,0
137,23,25,Mali,2,7,1,,0,1,0
138,19,23,Ethiopia,0,2,0,,1,0.2,4
139,19,22,Niger,3,4,2,,0,0.9,0
140,20,22,Bermuda,0,0,0,,0,353,2
141,22,22,Guinea,0,6,0,,0,2,0
142,19,19,Congo,0,0,0,,0,3,0
143,18,19,Tanzania,0,5,0,,0,0.3,1
144,18,18,Djibouti,0,0,0,,0,18,0
145,4,17,Maldives,0,0,0,,0,31,13
146,12,15,Saint Martin,1,4,1,,0,388,2
147,14,15,Haiti,0,0,0,,0,1,1
148,15,15,New Caledonia,0,0,0,,0,53,0
149,13,14,Bahamas,0,0,0,,0,36,1
150,14,14,Myanmar,0,4,0,,0,0.3,0
151,11,12,Cayman Islands,1,0,0,,0,183,0
152,12,12,Equatorial Guinea,0,0,0,,0,9,0
153,12,12,Eritrea,0,0,0,,0,3,0
154,10,12,Mongolia,0,0,0,,0,4,2
155,8,11,Curaçao,1,3,0,,0,67,2
156,11,11,Dominica,0,0,0,,0,153,0
157,9,11,Namibia,0,0,0,,0,4,2
158,8,10,Greenland,0,0,0,,0,176,2
159,8,9,Syria,1,0,0,,0,0.5,0
160,9,9,Grenada,0,0,0,,0,80,0
161,8,9,Saint Lucia,0,0,0,,0,49,1
162,9,9,Eswatini,0,0,0,,0,8,0
163,7,8,Guyana,1,0,0,,0,10,0
164,8,8,Guinea-Bissau,0,6,0,,0,4,0
165,8,8,Laos,0,0,0,,0,1,0
166,8,8,Libya,0,0,0,,0,1,0
167,8,8,Mozambique,0,0,0,,0,0.3,0
168,8,8,Seychelles,0,0,0,,0,81,0
169,8,8,Suriname,0,0,0,,0,14,0
170,5,7,Angola,2,0,0,,0,0.2,0
171,6,7,Gabon,1,0,0,,0,3,0
172,6,7,Zimbabwe,1,0,0,,0,0.5,0
173,7,7,Antigua and Barbuda,0,0,0,,0,71,0
174,7,7,Saint Kitts and Nevis,0,5,0,,0,132,0
175,4,6,Sudan,2,0,1,,0,0.1,0
176,5,6,Cabo Verde,1,0,0,,0,11,0
177,6,6,Benin,0,0,0,,0,0.5,0
178,6,6,Vatican City,0,0,0,,0,"7,491",0
179,5,6,St. Barth,0,1,0,,0,607,1
180,6,6,Sint Maarten,0,0,0,,0,140,0
181,4,5,Nepal,0,0,0,,0,0.2,1
182,5,5,Chad,0,2,0,,0,0.3,0
183,5,5,Fiji,0,0,0,,0,6,0
184,3,5,Mauritania,0,0,0,,0,1,2
185,5,5,Montserrat,0,0,0,,0,"1,002",0
186,5,5,Turks and Caicos,0,1,0,,0,129,0
187,3,4,Gambia,1,0,0,,0,2,0
188,3,4,Nicaragua,1,0,0,,0,0.6,0
