,active_cases,cases,country_name,deaths,deaths_per_1m_population,new_cases,new_deaths,region,serious_critical,tests_per_1m_population,total_cases_per_1m_population,total_recovered,total_tests
0,61,721,,15,0,0,0,,4,0,0,645,0
1,"810,968","985,060",USA,"55,357",167,"24,409","1,101",,"15,135","16,475","2,976","118,735","5,453,126"
2,"85,712","226,629",Spain,"23,190",496,"2,870",288,,"7,764","25,656","4,847","117,727","1,199,548"
3,"106,103","197,675",Italy,"26,644",441,"2,324",260,,"2,009","29,071","3,269","64,928","1,757,659"
4,"94,341","162,100",France,"22,856",350,612,242,,"4,682","7,103","2,483","44,903","463,662"
5,"39,551","157,495",Germany,"5,944",71,982,67,,"2,570","24,738","1,880","112,000","2,072,669"
6,"131,764","152,840",UK,"20,732",305,"4,463",413,,"1,559","9,867","2,251",N/A,"669,850"
7,"78,185","110,130",Turkey,"2,805",33,"2,357",99,,"1,776","10,656","1,306","29,140","898,742"
8,"15,114","90,481",Iran,"5,710",68,"1,153",60,,"3,079","5,016","1,077","69,657","421,313"
9,"73,435","80,949",Russia,747,5,"6,361",66,,"2,300","19,719",555,"6,767","2,877,699"
10,"27,531","61,888",Brazil,"4,205",20,"2,692",160,,"8,318","1,373",291,"30,152","291,922"
11,"26,845","46,644",Canada,"2,560",68,"1,290",95,,557,"18,130","1,236","17,239","684,271"
12,"28,255","46,134",Belgium,"7,094",612,809,177,,891,"16,313","3,981","10,785","189,067"
13,"33,120","37,845",Netherlands,"4,475",261,655,66,,934,"11,319","2,209",N/A,"193,950"
14,"6,151","29,061",Switzerland,"1,610",186,167,11,,204,"28,343","3,358","21,300","245,300"
15,"20,485","27,890",India,882,0.6,"1,607",57,,0,453,20,"6,523","625,309"
16,"18,701","27,517",Peru,728,22,"2,186",28,,554,"7,059",835,"8,088","232,747"
17,"21,632","23,864",Portugal,903,89,472,23,,182,"32,414","2,340","1,329","330,512"
18,"20,777","22,719",Ecuador,576,33,0,0,,127,"3,203","1,288","1,366","56,513"
19,"8,942","19,262",Ireland,"1,087",220,701,24,,142,"25,785","3,901","9,233","127,319"
20,"15,441","18,640",Sweden,"2,194",217,463,2,,399,"9,357","1,846","1,005","94,500"
