,author,content,description,publishedAt,source,title,url,urlToImage
0,David Murphy,"If you get your news from Facebook, thats problem number one. Why? Well, it would take an effort of pandemic-response-sized proportions to get people to stop sharing bullshit on Facebook. And you see how well our pandemic response is going...
I know that you… [+2260 chars]","If you get your news from Facebook, that’s problem number one. Why? Well, it would take an effort of pandemic-response-sized proportions to get people to stop sharing bullshit on Facebook. And you see how well our pandemic response is going...Read more...",2020-04-20T14:00:00Z,"{'id': None, 'name': 'Lifehacker.com'}",Fight Coronavirus BS in Your Facebook Newsfeed,https://lifehacker.com/how-to-help-facebook-fight-coronavirus-bs-in-your-newsf-1842925605,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/vmv9xpqz0tychsbkfkcb.png"
1,Christine Fisher,"Today through April 19th, you can tune into Games Done Quickly’s (GDQ) streamed COVID-19 charity event to watch some of the fastest speedrunners in the world race through new and classic games and raise money for the coronavirus pandemic. The event, Corona Re… [+736 chars]","Today through April 19th, you can tune into Games Done Quickly’s (GDQ) streamed COVID-19 charity event to watch some of the fastest speedrunners in the world race through new and classic games and raise money for the coronavirus pandemic. The event, Corona Re…",2020-04-17T16:08:21Z,"{'id': 'engadget', 'name': 'Engadget'}",Games Done Quickly's stream for COVID-19 relief has begun,https://www.engadget.com/games-done-quickly-covid19-charity-stream-160821853.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=80&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-04%2F925d4480-80c5-11ea-ab76-21c59c8ce9e0&client=amp-blogside-v2&signature=4d40f9de18ba5f8c74def71d273681aacc5d633d
2,Ingrid Lunden,"Over the last several years, delivery services have become a key component of how retailers, or anyone selling or distributing products and services, do business. Now, with a global health pandemic in full swing keeping people indoors (and away from physical … [+5765 chars]","Over the last several years, delivery services have become a key component of how retailers, or anyone selling or distributing products and services, do business. Now, with a global health pandemic in full swing keeping people indoors (and away from physical …",2020-04-07T10:58:30Z,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Bringg nabs $30M to expand its delivery logistics platform used by Walmart and others,http://techcrunch.com/2020/04/07/bringg-nabs-30m-to-expand-its-delivery-logistics-platform-used-by-walmart-and-others/,https://techcrunch.com/wp-content/uploads/2019/05/NextDay-Delivery-Box-Image.jpg?w=569
3,Natasha Lomas,"A European coalition of techies and scientists drawn from at least eight countries, and led by Germany’s Fraunhofer Heinrich Hertz Institute for telecoms (HHI), is working on contacts-tracing proximity technology for COVID-19 that’s designed to comply with th… [+13151 chars]","A European coalition of techies and scientists drawn from at least eight countries, and led by Germany’s Fraunhofer Heinrich Hertz Institute for telecoms (HHI), is working on contacts-tracing proximity technology for COVID-19 that’s designed to comply with th…",2020-04-01T21:16:26Z,"{'id': 'techcrunch', 'name': 'TechCrunch'}",An EU coalition of techies is backing a “privacy-preserving” standard for COVID-19 contacts tracing,http://techcrunch.com/2020/04/01/an-eu-coalition-of-techies-is-backing-a-privacy-preserving-standard-for-covid-19-contacts-tracing/,https://techcrunch.com/wp-content/uploads/2020/03/GettyImages-1210900116.jpeg?w=640
4,"Claire Wordley on Earther, shared by Brian Kahn to Gizmodo",Live wildlife markets have temporarily closed across China and air pollution is dropping in cities around the world under lockdown due to the coronavirus pandemic. Thats given nature some space to breathe even as the virus takes a toll on humanity. But in sou… [+6514 chars],Live wildlife markets have temporarily closed across China and air pollution is dropping in cities around the world under lockdown due to the coronavirus pandemic. That’s given nature some space to breathe even as the virus takes a toll on humanity. But in so…,2020-04-09T13:00:00Z,"{'id': None, 'name': 'Gizmodo.com'}",Why Coronavirus Could Lead to More Rhino Poaching,https://earther.gizmodo.com/why-coronavirus-could-lead-to-more-rhino-poaching-1842754861,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/p015yuxs5mzpzmt4dafm.jpg"
5,Bryan Menegus,"This is Sick Days, a series documenting how jobs are changing during the coronavirus pandemic, as told by workers themselves. This week, we hear from some entertainment professionals, a credit union worker, a nanny and part-time baker, and more. If youd like … [+14221 chars]","This is Sick Days, a series documenting how jobs are changing during the coronavirus pandemic, as told by workers themselves. This week, we hear from some entertainment professionals, a credit union worker, a nanny and part-time baker, and more. If you’d like…",2020-04-09T17:50:00Z,"{'id': None, 'name': 'Gizmodo.com'}",When It Feels Like Your Boss Values Your Health Less Than the Cost of a Laptop,https://gizmodo.com/when-it-feels-like-your-boss-values-your-health-less-th-1842749787,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/rpnlptc4wgj5zeobkeqg.png"
6,Amanda Yeo,"One of the few legitimate reasons for leaving your home amidst the coronavirus pandemic is to get some safely socially-distanced exercise. Unfortunately, as Late Night host Seth Meyers noted on Tuesday, some joggers are eschewing simple precautionary measures… [+1028 chars]","One of the few legitimate reasons for leaving your home amidst the coronavirus pandemic is to get some safely socially-distanced exercise. Unfortunately, as Late Night host Seth Meyers noted on Tuesday, some joggers are eschewing simple precautionary measures…",2020-04-29T05:58:29Z,"{'id': 'mashable', 'name': 'Mashable'}",'Crop dusting us with corona': Seth Meyers tells joggers to keep their social distance,https://mashable.com/video/seth-meyers-joggers-coronavirus-social-distancing/,https://mondrian.mashable.com/2020%252F04%252F29%252Fc7%252F02097b31f6b9407998d2c89454b48295.10827.png%252F1200x630.png?signature=YS_96CB-jvrFY5651S94BkH1y3s=
7,Amanda Yeo,"I cant believe I have to say this, but here we go: do not inject yourself with bleach. You could die.
On Thursday, the President of the United States, one of the most politically powerful men in the world, seriously suggested the coronavirus could be killed … [+4823 chars]","I can’t believe I have to say this, but here we go: do not inject yourself with bleachYou could die.

On Thursday, the President of the United States, one of the most politically powerful men in the world, seriously suggested the coronavirus could be killed …",2020-04-24T07:15:22Z,"{'id': 'mashable', 'name': 'Mashable'}","Do not inject yourself with bleach to cure coronavirus, holy crap",https://mashable.com/article/inject-bleach-donald-trump-coronavirus-drink-disinfectant-ultraviolet-light/,https://mondrian.mashable.com/2020%252F04%252F24%252F92%252Fc2f5fc6f929841bfa145b37bf205712f.37491.jpg%252F1200x630.jpg?signature=RknezZro0p23uLaB4IUEhVQwKvQ=
8,Anna Iovine,"With a third of the world's population staying at home
 amid the coronavirus pandemic, it's safe to say that there are single folks out there lamenting their dating life. IRL dating is out of the question for many right now, but plenty of people are still do… [+5262 chars]","With a third of the world's population staying at home amid the coronavirus pandemic, it's safe to say that there are single folks out there lamenting their dating life. IRL dating is out of the question for many right now, but plenty of people are still down…",2020-04-11T15:00:00Z,"{'id': 'mashable', 'name': 'Mashable'}",Going on a virtual date? Here's how to make it not suck.,https://mashable.com/article/how-to-have-a-virtual-date/,https://mondrian.mashable.com/2020%252F04%252F11%252F41%252F939c150d4993401fbfee5e62e52cd077.81abb.png%252F1200x630.png?signature=FXpwIYBb4e_Aq2xSwyKgXETLDlY=
9,Nicole Gallucci,"Proposing to a significant other, planning a wedding, or getting married in the middle of a pandemic is far from ideal. But steadfast romantics around the world are proving that love in the time of coronavirus, though not easy, is still possible.
Over the pa… [+10584 chars]","Proposing to a significant other, planning a wedding, or getting married in the middle of a pandemic is far from ideal. But steadfast romantics around the world are proving that love in the time of coronavirus, though not easy, is still possible. Over the pas…",2020-04-06T19:33:12Z,"{'id': 'mashable', 'name': 'Mashable'}",Minimalist proposals and weddings spread joy in coronavirus pandemic,https://mashable.com/article/coronavirus-pandemic-proposals-wedding-planning/,https://mondrian.mashable.com/2020%252F04%252F06%252F8c%252Fc4c63802f5ec4f1b84ba34578fda8b07.e3c26.png%252F1200x630.png?signature=14jTlJjepUgfj4Y9t8oeZs4EmUQ=
